UMAP1,UMAP2,assignment_delay_label
10.225256,12.204755,3
10.159698,1.506121,3
9.165537,7.9628367,4
9.942025,11.427357,4
-3.1791408,-0.6718096,2
15.9232855,6.9988794,3
-2.6783743,1.511023,2
-3.9824662,2.7113385,2
12.064959,-0.21855189,3
10.038384,10.745995,4
11.808468,3.9531803,3
11.769496,0.4443587,3
11.518268,11.701427,3
9.90358,11.421259,4
9.663436,12.850849,3
9.061829,12.255161,3
10.098139,2.0944493,3
-4.5863028,4.009907,1
11.804811,2.7091532,3
11.950743,3.6767564,3
15.176451,6.9683995,3
-4.6359434,0.33903012,0
-6.0222645,2.8956802,0
-6.046204,2.832588,0
12.127261,3.4214673,4
10.126158,12.107426,3
-2.6301517,2.4495232,2
-2.3157954,2.5541995,2
-2.1338227,3.793462,2
11.508099,11.570274,3
11.830884,0.33720413,3
-5.4089117,3.5129986,1
-4.2874527,0.102803126,1
16.073,7.093738,3
-4.8539443,2.557104,2
10.115136,10.618183,4
-2.6587548,2.2934017,2
16.10955,7.187817,3
11.412765,11.863801,3
-4.113704,2.9158182,2
-4.2056556,1.5192647,1
-5.2436075,3.7212152,1
11.693501,10.874579,3
15.44608,6.965391,3
11.574041,2.1436865,3
11.632023,4.1769347,3
13.864407,3.105811,4
14.210695,7.1454835,3
-2.820277,0.027733361,2
