Dim1,Dim2,assignment_delay_label
46.25476,-5.4523406,3
-50.10051,-14.389187,1
-0.09733662,-10.681791,3
40.04669,6.968759,4
-45.003693,-1.6309034,1
-52.12758,13.149688,0
29.743868,8.0032425,3
45.96835,15.557296,3
44.757698,-1.3567941,3
-45.003693,-1.6309034,1
-30.58992,-20.930656,2
39.431576,15.237109,3
16.533215,14.586583,3
7.329376,-13.231706,4
-48.927425,0.5095848,1
35.371044,26.786789,3
-34.503296,16.237352,2
-32.25204,-7.911107,2
37.02863,-0.32458827,3
42.40344,-4.8629203,3
43.04023,8.118801,4
-51.94853,5.8540244,1
-49.336014,5.5536184,1
48.148914,0.47007135,3
6.401275,-19.197496,3
-41.554134,-3.0498857,2
-66.51561,-4.0719028,0
-57.772038,-4.5483317,0
33.825542,-22.58659,4
-53.026974,7.569647,1
-40.926704,-1.2159666,2
-46.9139,19.438173,1
-35.56685,-19.784403,2
39.431576,15.237109,3
1.4472405,-7.4276714,3
-43.86414,10.118206,1
